Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,maalissa,purj.aika,tas.aika
2429,Fenja,Tapio Fagerström,Siesta 32,"1,12",16.43.57,5.13.57,5.51.37
2295,Felina,Matti Niemelä,FE 83,"1,04",17.14.04,5.44.04,5.57.49
2880,Lill Marie,Matti Arpalahti,Sirena 38,"1,20",16.30.10,5.00.10,6.00.12
5347,True Blue,Aki Tuominen,Finn Flyer 31,"1,15",16.45.11,5.15.11,6.02.27
6199,Meriharakka,Eero Heino,Artima 33,"1,15",16.45.35,5.15.35,6.02.55
9463,Tiffany II,R-P Happonen,EF 34,"1,19",16.46.25,5.16.25,6.16.32
4430,Iida II,Esko Salminen,Diva 39,"1,25",16.32.20,5.02.20,6.17.55
33,Viola,Ilkka Olkkonen,Lady Helsman,"1,12",DNF,DNF,DNF
