Purje Nro,Veneen nimi,Kippari,Veneen tyyppi,lys,maalissa,purj.aika,tas.aika
2429,Fenja,Tapio Fagerström,Siesta 32,"1,12",17.46.51,6.16.51,7.02.04
6199,Meriharakka,Eero Heino,Artina 33,"1,12",17.58.26,6.28.26,7.15.02
2280,Lill-Marie,Matti Arpalahti,Sirena 38,"1,20",17.36.11,6.06.11,7.19.25
4430,Iida II,Esko Salminen,Diva 39,"1,22",17.41.27,6.11.37,7.33.22
2295,Felina,Matti Niemelä,Fe 83,"1,04",DNF,DNF,DNF
3728,Taikatuulia,Reijo Vasama,AlbinDelta,"1,09",DNF,DNF,DNF
33,Viola,Ilkka Olkkonen,LadyHelsman,"1,12",DNF,DNF,DNF
